Document ID,cluster_id,stakeholder_type,NIST AI RMF,NIST AI 100-1,NIST SP 800-*,EU AI Act,EO 14110,EO 14141,OMB M-*,ISO/IEC 42001,ISO/IEC 23894,MITRE ATLAS,OWASP,C2PA
NIST-2025-0035-0268,259,Individual,0,0,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0028,26,Individual,1,1,1,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0270,260,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0271,261,Other,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0438,262,Individual,1,0,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0273,263,AIStartup,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0274,264,Other,0,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0275,265,AIStartup,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0276,266,AIStartup,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0277,267,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0278,268,EnterpriseSoftwareOrSecurityVendor,1,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0279,269,LargeTechCompany,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0029,27,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0280,270,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0281,271,Other,1,0,0,1,0,0,0,1,0,0,0,0
NIST-2025-0035-0282,272,Individual,1,1,1,1,1,0,1,0,0,0,1,0
NIST-2025-0035-0283,273,AIStartup,0,0,0,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0284,274,AIStartup,0,0,0,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0285,275,Individual,1,1,0,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0286,276,AIStartup,0,0,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0287,277,Individual,1,1,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0288,278,AIStartup,1,0,1,0,0,0,0,0,0,0,0,1
NIST-2025-0035-0289,279,AIStartup,1,1,0,1,0,0,0,1,0,0,0,0
